text,label
 @amirhachim  lah mana buktinya kalau lebih mementingkan diri sendiri??,netral
"Anis ngeri bawa2 tanah dan kekayaan prabowo lalu dibandingkan dengan prajurit yg ga punya rumah dinas. Ini sengaja membenturkan...
Misal prabowo pengen balas, dia bisa aja ngomong ""mas anis hartamu sekian milyar, tanahmu sekian hektar sedangkan masih ada penduduk jakarta yg mulung dan miskin, bagaimana ?""
Namun prabowo ga melakukan itu. Karena cuma bikin chaos dan tidak beretika. Salut buat prabowo.",netral
​ @Teddy-eb4jc itu tandanya Prabowo egois..mementingkan diri sendiri..dan itu bukan jiwa pemimpin,netral
Adil itu bukan sesuai pemikiran lu yaitu pihak yg Lo bela harus menang tapi keadilan ya sesuai dengan aturan... Kalau adil menurut lu masih berdasarkan yang menang harus pilihan lu... Maka w pengen berjalan gak adil..,positif
"Betul, coba² benar kputusan jgn berpihak, harus benar² suci persaingan nya jgn ada kecurangan seperti 5 tahun kemarin",negatif
"Gak ada rakyat gak sengsara, selama pdi msih berkuasa, makmur gak selama ini rakyat, gak kan, rakyat byk menggagur, malah orang asing di pekerjakan ke Indonesia, terbalik kan 😊",netral
"Jangan berharap pemilih bisa berjalan jujur dan transparan. Mengapa, karena proses seleksi KPU Propinsi dan Kabupaten Kota saja tidak jujur dan profesional berdasarkan kapasitas dan kemampuan akademik yang baik. Saya alami sendiri ketika mengikuti proses seleksi KPU Kabupaten Kota di Propinsi Maluku. Orang orang yang punya Nilai tes tertulis dengan hanya 23 bayangkan bisa lulus karena didongkrak dengan Nilay essay 40 sampai 49. Sedangkan hasil Psykologi DIPERTIMBANGKAN. Ini bagi saya kita tidak akan mendapatkan calon komisioner KPU Kabupaten  Kota yang berintegritas dan punya kemampuan manejerial dan kompetensi untuk menaukseskan Pemilu yang jujur, adil dan berintegritas ..",positif
Kalau video Muhammad sama Aisya Kecil ada ga min?🔥,netral
GIBRAN melanggar aturan debat dan menyesatkan,netral
"Kita kawal nonton di tv, kpu bawalsu polri dpr kades pemeritahan itu baru bisa mengawal ,kita cuman negok negok",netral
"Lahan pak prabowo 340.000 hektare, tpi karyawan nya sejahtera gak?😂   Punya rumah semua gak?😂   Gaji lancar gak?? THR keluar gak??? bonusan tidak???😂😂  siapa yang OMDO Wo Wo.. Woo",negatif
"​ @AntonPalembang81 punya rumah atau enggak,, sejahtera atau gak itu tergantung pribadinya masing2 kali.. dan satu lagi yg paling penting karna takdirnya😂😂😂😂. Tetangga gua banyak yg lulusan sd kerja proyek dan jualan keliling tuh pada sejahtera aja,, makan cukup,nyekolahin anaknya juga pada mampu😅😅😅...",netral
 @AntonPalembang81  emang nya gaji ngga lancar ta?,netral
​ @AntonPalembang81 bualan tidak realistis hanya milik orang dusta... Kampanye jadi tebar tebar janji,netral
Mari adakan revolusi dgn golput dari pada percaya dgn kpu yg munafik.,netral
"PPS tingkat desa aja gak jujur, apalagi KPU, BAWASLU Ah sudahlah",positif
 @ffnda4671  mau kalah ni yee 😀,negatif
​ @rachmadsuwandi67 plot twist bgt y,netral
Penyelenggaranya dan pengawasan nya juga harus jujur,positif
Jangan lupa hutang negara harus bisa dilunasi,netral
Kalauvno 2 ga jujur..MK aja dimakan,positif
Prabowo di tanya kerjaan sehari hari jadi menhan aja gak bisa jawab. Terus ngurusin apa pak omon omon selama hampir 5 tahun jadi menhan. Apakah bisnis pribadi yg di urusin 😂😂😂😂🤣🤣. Ah rumah tangga aja ancur gk ke urus wkwkkw,negatif
"​ @kikoff1787 😂😂😂😂😂😂
Ntar klu no. 1 menang baru tau berapa triliun duit yang udah di bocorkan... 
Ingat setiap jual beli ada fee, tiap hutang ada fee, tiap import ada fee... 
Jadi pikir saja mereka beli barang bekas, hutang dll untuk keperluan rakyat atau untuk biaya bagi2 susu, sembako dan duit😂",positif
"Sejarah akan mencatat 2024 pemilu yang tidak fair, anak cucu kita akan membacanya",positif
" @fay_wahyu  mau sampai kapanpun, pendukung dari pihak yang kalah akan selalu bilang bahwa ""pemilu tahun ini sudah dicurangi""",negatif
Liat lah Jokowi jujur tp bwhannya bnyk yg gk jujur😢,positif
" @ernaekawulandari9704  Jkw jujur? Kemane aja mpok? 
Esemka = bohong
Tol laut = gak tahu kemana ceritanya
Revolusi mental = bikin Mahkamah Keluarga spy anak lolos jadi cawapres
Kerja kerja kerja katanya duit ada = hutang hutang hutang
Pas covid pilkada ditiadakan sampai skrg =  covid sedang tinggi2nya pilkada khusus Solo buat Gibran dan pilkada Medan buat menantu Bobby tetap diadakan..
Dst.. dst..
Makanya butuh perubahan.. Amin..☝️",positif
boneka partai mana berani🤣,netral
IYAA AYOK PAK PRABOWO DEBAT BEBAS COBA,netral
Iya lw bner2 mau bertiga tp tetep gk boleh dipublikasikan,netral
" @ernaekawulandari9704  coba dengar kata beliau kita adakan terbuka, tapi tidak disini, dsni saya tdk di kasih waktu🤣",netral
coba ini terlaksana sblm pencoblosan.,netral
"Ass,,,,❤bdg nyimak pemilu ini mudah mudahan yg terbaik,😊❤sukses selalu Amiin ya robb",positif
Ga bakal brani bro si wowo,positif
mbak najwa udah kapok ngundang 02...ngeriiii,positif
"Lucu yee banyak prajurit gak punya rumah dipertanyakan ke prabowo,. 
Kalo pengen punya rumah pribadi  tanah pribadi jadi pengusaha..membawa bawa prajurit yang abdi negara untuk mencari point itu gak etik , negara sudah mempasilitasi mes untuk itu ..
Jakarta aja gak beres tingkat miskin manusianya banyak pemulung tetep banyak pengamen dimana mana so soan mau jadi pemimpin sebuah negara dengan 12jt lebih manusia..
Urus jakarta aja gak beres apalagi urus negara wkwkwk",positif
" @agussukarya9951  
Prabowo + gibran + smua pendukungnya memiliki ciri khas yg sama yaitu tidak pernah menjawab subtansi alias hanya ngeles kiri kanan 
SUBTANSI dari statemen anies adalah bgmn prabowo menjelaskan bgmn dia bisa mendapatkan tanah 340.000 Ha ? padahal banyak prajuritnya yg gak punya rumah 
Ironi ini yg hrs dijawab",positif
"Anis ngeri, bawa2 kekayaan pribadi dan membenturkan dengan prajurit yg blm punya rumah dinas..
Misal prabowo pengen balas, dia bisa aja ngomong ""mas anis hartamu sekian milyar, tanahmu sekian hektar sedangkan masih ada penduduk jakarta yg mulung dan miskin, bagaimana ?""
Namun prabowo ga melakukan itu. Karena cuma bikin chaos dan tidak beretika.",negatif
​ @Teddy-eb4jc punya negara yang di kuasi oleh prabowo. Maka dari itu anis menanyakan itu. Kalo tanah negara kenapa gak di kasih prajurit,netral
Amin siapa saja yang penting terbaik  bagi indonesia,positif
amin ya robbal alamin,positif
Sepakat sekali kurang greget,netral
"Yg netral siapa bru?

Kpu?
MK?",netral
​ @Nawi_Al-banuChannel gak ada 😂,netral
Kn paslon 2 blg cuma ingin debat yg diadakn kpu,netral
"​ @sawall8260  lucu ya 😂 , kok gitu maunya dia",netral
disini capres bermain aman,netral
Ya ga bisa lah,netral
Yahahah. Ga seru krna junjungan lu di serang 2 kubu yh? Wkwkwkwk,netral
Narasi kan kubunya anis,netral
"yupz setuju, seharusnya debat itu saling sanggah bukan gantian",positif
Ga serunya kenapa ya?,netral
 @putrinabillahyusrisirait4936  kurang sanggah menyanggah kek ada yg kurang,netral
Narasi kurang netral jadi gak perlu.,netral
"Bicaranya dikasih alarm. Yg nanya alarmnya panjang
Yg jwb alarmnya pendek

Ga kebalik tuh modrmotor
Hahaaaaa",netral
iy yg udh jadi mentri selama 5 thn itu hasilnya apa?????,netral
 @otonkkoil bisa google pak kan teknologi sekarang sudah canggih,netral
​ @otonkkoil jagung estet 😂😂😂,netral
​ @otonkkoil asli mana kamu,netral
"Pinter ngomong dan berkata-kata kok bisa membuat 
Jakarta e-prix circuit (formula E), 
Revitalisasi simpang lima pasar Senen,
Fly over tapal kuda,
Pembenahan kampung susun aquarium,
Pembangunan Rumah DP 0% sebanyak 2.332 unit yg sudah terbangun,
Gratiskan PBB /Pajak dengan kekayaan dibawah 2Milyar,
Pelebaran trotoar dikawasan Kemang sudirman Tamrin,
Transportasi integrasi (JAKLINGKO),
Aplikasi Jakarta kini (JAKI),
JPO pinisi Dijon Jend Sudirman,
Pembangunan jalur persepeda,
Pembangunan sumur resapan,
Revitalisasi Kota Tua (BATAVIA),
Penutupan sarang Lonte (ALEXIS),
Pembangunan Stadion JIS, dan Lain2.
Udah GK bisa di pungkiri lagi, tapi beda cerita kalau ada orang yg matanya buta untuk menerima kenyataan. 😂🤣
Keren kan, dari yg awalnya omongan pinter berkata-kata doang, tapi bisa merubah semuanya.
Makanya PINTER😁 👍
Saya cuma minta Sebutkan 1 aja prestasi Prabowo selain beli alutsista BEKAS.😂",positif
​ @AnggaCahyaJR 1 lg program pak anis KJMU sangat2 membantu buat adek sya,netral
Kalo pak anies paket lengkap pandai berdialog dan mempunyai pengalaman jadi gub jakarta,netral
"Kalau gak punya teori dan pengetahuan bagaimana pemimpin tersebut bisa menerapkan teori atau pengetahuan tersebut di dalam masa kerjanya. 
Teori atau pengetahuan adalah dasar penting, agar pemimpin tersebut tidak jadi beban bagi rakyat Indonesia, apalagi hanya menjadi pajangan di kursi pemerintah atau jadi boneka untuk digunakan mencapai keuntungan2 Individu atau organisasi tertentu..",netral
Rekam jejak pelanggaran HAM dan MK? Ckckckckc rusak,negatif
"jika soal pintar berbicara, itu penting dalam membangun hubungan dengan negara lain yah, apalagi presiden adalah perantara indonesia dalam lingkup internasional, jika seorang presiden pintar berbicara, otomatis negara lain gampang membangun hubungan dengan Indonesia sehingga indonesia bisa dikenal, mempunyai banyak koneksi, lebih maju, dan mampu berkembang di kancah internasional",positif
"Berbicara tentang Prabowo, saya hanya ingat kata2 kakak sepupu saya yg merupakan seorang Kopassus ketika melawan Gerakan Aceh Marderka. Prabowo adalah pemimpin yg sangat disiplin dan selalu berada di depan pasukan ketika berperang. Itu yg membuat almarhum Bapak saya termasuk saya yg waktu itu masih berada di Sekolah Dasar sangat mngagumi sosok Beliau.",positif
Anis Sing ada lawan,netral
Apalgi yg emosia& gk punya etika🤣,negatif
setuju...bukti kerja kerja kerja...singkong panen melimpah,positif
Di sini percuma menjelaskan ke orang yg ga suka anis..tetep aja cibiran yg keluar padahal cuman KATANYA BERITA KATANYA CERITA ORANG 😂😂 prabowo 2 periode sudah dukung penuh nyatanya yg katannya mau teggelam sama rakyat buktinya apa...sekarang kelain hati aja AMIN NO 1,positif
"Anis sangat genius merangkai kata , kadang sangat Tidak masuk akal . Buat pendukung Anis yg penting seiman . 
Harus memilih Calon Presiden yg benar benar bicara sesuai realita dan masuk akal",positif
 @suzannesuzanne9183   Pemimpin WAJIB pintar berbicara (pandai merengkai kata kata) utk meyakinkan pihak lain agar programnya bisa berjalan.,positif
"Selalu saja bilang pandai merangkai kata, jangan lupa di dalam kitab suci juga isi nya kata-kata, dg kata kata rosulullah berdakwah untuk umat semesta alam",netral
Jadi anda tidak suka pak bowo karena pak bowo 5 tahun tidak bisa kerja pertahanan negara. Buktinya di papua TNI di bantai jasat di biarkan dan tak di urus baru 7 hari yg lalu,negatif
Jd lu jelasin rekam jejak pak bowo apa yg di lakukan 5 tahun,positif
" @Cindomoncul-de7zx  
Saya simpatisan Anies makanya tidak perlu menanggapi permintaan anda",netral
Iyah BENER BANGET KALAU NGOMONG BIKIN JANJI MAH SEMUA ORANG BISA,negatif
 @yogahikaru8267  Kalo capres tanpa janji apakah ada yg mau milih.? justru ketika dia banyak janji kita bisa tagih janji itu setelah mereka bener2 jadi..,netral
" @yogahikaru8267  itu yg sedang kita amati..semua calon pernah menjadi pejabat..dan kita ingin tau apa yg mereka lakukan selama mereka menjadi pejabat  sebelumnya..mangkanya ketika ada yg bertanya kinerja sebelumnya harus nya di jawab,bukan ngeles jadi kita bisa tau rekam jejaknya
Apa kekurangan dan apa kelebihan nya..jgn malah merasa di serang",negatif
"Sangat setuju pak. Para Panelis alangkah lebih baik di libatkan, jauh lebih bagus lagi rakyat dilibatkan juga. Temanya apa, Buat open pertanyaan ditwitter atau IG ttg tema tsb dipilih dr KPUnya, rakyat juga berhak ambil bagian dr debat ini harusnya. Supaya rakyat tambaha melek dan yakin siapa yg bnr² harus dipilih. Krn pemilihan presiden yg milih dr suara rakyat",positif
"2 menit aja omon omon hampir pingsan, gimana 5 - 10 menit",negatif
 @FRHN-is4xw  biar makin keliatan fisiknya sang capres...🤭,netral
"Setujuuuuuu, ini milih presiden loooh pemimpin negara tp kita cuma tetap disuguhkan semenit 2 menit doang mana cukup unt yakin coblos yg mana. Semenit 2 menit mewakili negara 5 thn kedepan looh apa bisa sesingkat itu jd paham banget ini rakyat2 sm visi misi capres? Udh mana waktu singkat smpt2 nya diisi sindir serang. Jd kita org awam ga nangkep real 100% visimisinya. Milih presiden loh ini KPU, bukan milih pak RT",positif
"Jangan pak, nanti tugas kulaih saya juga membengkak :face-turquoise-covering-eyes:😅😅",positif
"Yes....setuju banget, nuntut pemimpin ini itu....buang sampah ketempatnya saja belum menjadi budaya.",netral
"Setuju paslon 2 berkata pertahanan terbaik adalah kerjasama, gotong royong dan kerukunan kita menjadi warga negara SETUJU banget",positif
"Bagaimana akan jd negara maju kalau presidenya gak punya kapasitas.
     Gak punya ide dan gagasan, cuma bisa emosi..😂😂😂",netral
 @Subiyono-se8ps  tahu cara membedakan emosi dan memperjelas?,netral
"Betul sx hanya amin yg insyllh jujur&amanah,serta punya track record yg baik👍☝️",positif
"​ @nurhydayat2969 
Dalam debat : anies menjawab klo pertahanan juga harus bicara ttg keselamatan keluarga dari penipuan online dan judi online (yg merupakan tugas aparat keamanan ato polisi)  
ternyata anies tdk bisa membedakan antara tugas pertahanan dan tugas keamanan
 katanya cerdas dan pintar??? 😅😅",positif
"@jempling695, tolong jangan komentar kalau tidak faham secara utuh😂😂😂😂😂",netral
" @ataccu9772  
Terus menurut elu apa yg dimaksud anies SAAT BICARA TTG PERTAHANAN KELUARGA ?",netral
"Sandiwara Politik Dua Kaki

Perlu kita ketahui sesungguhnya Paslon 2&3 itu BERSEKUTU (Megawati & Jokowi), dipanggung politik mereka pura2 ""BERSETERU"". Bagi yang ingin perubahan pilihlah No.1 (Anies Baswedan+Muhaimin Iskandar)

Ingat hanya sandiwara saja",netral
"Nih bukti 5 tahun Jakarta di pimpin Anies Baswedan :
-✅Transportasi berkelanjutan terbaik dunia 2021
-✅Kota terbaik dunia atas inovasi Sistem Pengendalian Banjir (Flood Control System) 2022
-✅Penghargaan Pengembangan Pendidikan Agama dari Kemenag RI 2020
-✅Penghargaan keterbukaan informasi Publik dari komisi informasi 2019 
-✅Pelopor Provinsi Layak Anak dari Kementerian Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) tahun 2019
-✅Tiga Penghargaan atas kinerja pemberantasan korupsi di Jakarta oleh KPK 🏆🏆🏆
-✅Laporan Keuangan jakarta mendapat Predikat Wajar tanpa Pengecualian (WTP) 5 kali berturut-turut dari BPK RI
-✅Jakarta sebagai Kota terbaik di Asia
-✅Para Pemimpin perubahan 2019
-✅Juara Sustainable Transfort Award (STA) 2021
-✅KPID DKI Jakarta awards 2019
-✅Kota Paling ramah bersepeda 2021
-✅Indeks Pembangunan Ketenagakerjaan 2019
-✅Anies Masuk dalam daftar 21 Heroes 2021 TUMI (Penghargaan International)
-✅Anugerah KPAI 2019
-✅Penghargaan INTEGRA 2018 Kemnaker RI
-✅Provinsi terbaik Tim Pengendalian Inflasi Daerah 2019
-✅Top Inovasi Pelayanan Publik dan Pengelolaan Pengaduan Pelayanan Publik terbaik 2020
-✅Juara Pertama ASEAN ICT Awards 2021 untuk Public Sector
-✅Anies menjadi anggota Dewan di Universitas Oxford
-✅Penghargaan Lifting Structure dari MURI untuk Pembangunan JIS 2022
-✅Eksport Beras Premium Pertama DKI ke Arab Saudi 2022
-✅Jakarta Menang Procurement Award 2020
-✅Sukses Pembangunan Sirkuit Formula E tercepat di dunia serta penyelenggarannya yg berjalan sangat baik
-✅Info pangan jakarta 
-✅4 penghargaan sekaligus kategori Indeks Pembangunan Ketenagakerjaan 2019.
-✅Indeks Pembangunan Ketenagakerjaan Terbaik pada Indikator Utama Penduduk dan Tenaga Kerja, Kesempatan Kerja, Jaminan Sosial Tenaga Kerja.
-✅penghargaan Tim Pengendali Inflasi Daerah (TPID) Award dari Bank Indonesia.
-✅Prestasi dari Komite Sustainable Award yang menganugerahi DKI Jakarta gelar Honorable Mention pada malam Transportation Award (STA) 2020.
-✅berhasil membawa DKI Jakarta sebagai juara umum dan menyabet sembilan penghargaan sekaligus dalam Anugerah Public Relations Indonesia Awards (PRIA) Transportasi",positif
"Pak anis selalu memancing emosi kubu 02..
Pak ganjar main kalem diawal akhirnya digas juga no. 2..😅",positif
"benar sekali gan,tapi ada tapinya...klo yg mngerjakan paslon no 3 ,pekerjaannya akan sat set...karena keputusan2nya dan berpikirnya masih fresh dan gesit...",netral
 @DickyAhmad-rl4np   sayangnya naungan banteng 😁,positif
 @DickyAhmad-rl4np  paslon 2 juga fress lo ada yg muda Gibran. Jadi kata tapi itu perlu dipertanyakan lagi,netral
"kasian cinta bertepuk sebelah tangan, di ujing di rujak ama si ganjar",netral
 @FRHN-is4xw  semoga ga cuma teori saja ya,positif
Anis manis bener ya kalo omong gan😂,negatif
 @netizen9878  yang pahit siapa dong? kita pilih itu aja ya?😄,netral
Tetap pilih Ganjat Mahput Presiden 2024 .🙏🙏👍👍,positif
"Kalo saya sih gapapa ya capres ngomong manis janji banyak. Cuma yang jadi masalah ada ni capres bisa dikritik dan bisa transparan apa enggak. Abis nonton ini saya malah khawatir kalo pak prabowo yang jadi presiden, ditanya data aja ga transparan, dikritik malah tersulut emosinya.",negatif
" @aprilliadewipuspalestari3786  yakali nyebutin data segitu banyak waktunya cuma 1 menit mikirlah lu juga kalo di posisi pak prabowo bklan ngelakuin Hal yg sama, pak prabowo kan udah bilang kalau mau Tau datanya yang real bisa temuin dia, bakal ngomongin 1 per satu temuin aja Sono",netral
"Dari debat tsb aku sangat sdikit mendptkan jawaban2 subtantif dari prabowo contoh : 
ditanya ttg bgmn bs mendptkan tanah 340.000 Ha yg ironi dg kemiskinan prajurit gak dijawab
ditanya ttg sejauh mana  indikator ketahanan negara dijawab rahasia negara 
dll yg smuanya hanya ada jawaban ngeles + wajah emosi 
(Inikah kualifikasi calon pemimpin tertinggi kita?)",negatif
"​​ @ChristineYulia Basi bangettt, gaada hubungannya lol",netral
Semanis janji² politik urus jakarta kemaren gak rebes,netral
​ @agussukarya9951 Urus jakarta beres? sebutkan kerja pak anies yg ga beres di jakarta. Saya orang jakarta nih bang,netral
Lah kami mah gak pernah nyindir menjelek kan kami urus pemenangan bukan hati yg busuk di perlihatkan,netral
Amin aja dulu ❤,positif
Iya mana beliau public speaking nya bagus betul :33,positif
"⁠ @Jihan-sx9xl emg paslon lain publik speakingnya gabagus? Saking bagusnya anies sampe menjatuhkan lawan mulu isi debatnya, dari debat pertama isinya menjatuhkan paslon mulu🤭",positif
"Santun apanya,,, berdebat bukan dengan data abal² dan pernyataan² yg mustahil untuk dilakukan,,, justru pernyataan² dia kali ibarat bercerita dongeng yg belum tentu dongeng itu benar adanya namung meyakinkan orang lain untuk mempercayai dongeng tersebut.😂😂",positif
" @artisyiabchannel  pilihanku ttp 1. Nggak berubah. Tenang aja, jngn panas bos.",positif
"1. Pak Anies dan Pak Ganjar pada nyerang pribadi, pesawat bekas itu interim untuk kedatangan pesawat tempur baru rafale (dibeli prabowo) yang akan datang puluhan unit karena pesawat baru yang akan datang butuh waktu 3 tahun kurang lebih. Pesawat bekas usia pakainya masih bisa dan digunakan sebagai pengganti untuk mengisi kekosongan selama 3 tahun itu untuk menjaga Udara Indonesia.

Saya suka bahas hal ini karena dulu suka dengan hal berbau militer dalam bidang alutsista sampai pernah buat fanspage dengan pengikut sampai 70ribu dan gabung grup-grup militer menyimak bahasan tentang alutsista (karena saya rakyat biasa yang menyukai Update Berita Pertahanan).

2. Terus nyenggol masalah kasel changbogo batch II, padahal itu kontrak jaman sby, dan nggak di lanjut karena kapal selama itu problematik banget, kalo di lanjut malah bisa nambah masalah

3. Masalah MEF nggak terpenuhi juga dibilang harus ada persetujuan menkeu dimana menkeunya ada yang tidak acc, terus ada covid, malah nggak di terima, selain itu, MEF juga agak ketinggalan krn waktu menhannya si ryacudu itu kurang aktif ngejar MEF. 

intinya, capres no 1 nyerang pribadi terus2an, kalo capres no 3 sedikit paham tapi nyerang juga di akhir tanpa mengerti faktanya seperti apa, giliran di jelasin prabowo, dia yang ga nangkep. 



Tambahan, mnrt gua debatnya gaseru 🗿, gara2 no 1 sibuk nyerang personal, jd ga dapet info baru terkait keadaan alutsista dan pengadaannya",positif
"Manis dibibir memutar kata malah kau tuduh akulah segala penyebabnya, siapa terlena pastinya terpanah bujuknya rayunya suaranya yang meminta simpati dan harapan",positif
"Abah anies diluar sopan santun banget, di forum debat bak singa siap menerkam...beda ama si omon omon diluar ngamuk2 di forum debat mewek..",netral
"Santun menjatuhkan paslon lain yah, bukan fokus visi misi sendiri😅",positif
" @herdculess  bang cb simak debat sblmnya, lagian pak Anis tdk perlu bertele-tele mnjlskan visi misi nya.. org sdh jelas (⁠ ⁠ꈍ⁠ᴗ⁠ꈍ⁠)",positif
"Amin semoga abah selalu di lindungi allah, ini biar terbuka kebenaran yg ada di pejabat",positif
ya itu makanya prabowo bilang dia gak beretika. rahasia negara kalau sampai dibuka secara umum malah itu membahayakan indonesia. apalagi youtube ini kan bisa diakses seluruh dunia. ambisi anis ini untuk menghidupkan demokrasi yang bebas sebebas²nya justru bisa berakibat fatal untuk negara kita. nanti tinggal lihat gimana china/ amerika ngukur kekuatan militer kita. dan untuk Indonesia mandiri segalanya masih jangka panjang kayaknya karena porsi biaya pertahanan gak sedikit.,netral
"​ @tabiinunikal4610 yg diminta apa yg dibuka,data yg salah,bukan semuanya",positif
Itu dia takutnya byk musuh wkwkwk,negatif
Sama.. jadi inget kasus Alm Munir 😢,netral
"Dia berani nyinggung yg bukan ranahnya sengaja mancing emosi pak prabowo,,padahal gk tau rahasia militer gmn pak prabowo itu Blum buka bukaan soal militer soalnya rahasia negara",netral
​ @diary_nay7617 ia nyinggung pak Bowo kenapa belum punya ister? Kan kaga,netral
"​ @diary_nay7617 betul, dia pinter nanya yg ga BS d jelasin terbuka d publik JD seoalh2 pak Prabowo kalah dlm debat pdhl dia ga BS buka semuanya, liat aja nnt karma kalo memang kepilih suatu saat semua ada masanya di hujat walau skg d eluh2kan karna menjalani ga semudah teori n berbicara, Qt liat aja nnt kalo dia menang gmn kinerjanya n pendukunga bakal JD penghujatnya bukan wkwk.. liat aja pak Jokowi skg gmn byk d hujat pdhl byk hal positif jg yg udh beliau perjuangkan. Nasib yaa..",positif
"​ @diary_nay7617  Bener, ngaruh juga si buat pertahanan di Indonesia, atau dimanapun negara nya. Masa iya kekurangan di buka secara terang""an, terus gimana buat mertahanin nya. Pasti kan ada rahasia"" dalam ngelola nya",positif
Dia berani nyinggung dan asal nyinggung yg gak ada hubungannya sama tema debat dan gak intropeksi dirinya sendiri,positif
"​​ @budigamkis8017 tolong dibandingin sama yang omon², emosian, gabisa jawab pertanyaan, gabisa nerima kritik, 11/100 🥰🥰",negatif
