text,label,clean_text
"Anis ngeri bawa2 tanah dan kekayaan prabowo lalu dibandingkan dengan prajurit yg ga punya rumah dinas. Ini sengaja membenturkan...
Misal prabowo pengen balas, dia bisa aja ngomong ""mas anis hartamu sekian milyar, tanahmu sekian hektar sedangkan masih ada penduduk jakarta yg mulung dan miskin, bagaimana ?""
Namun prabowo ga melakukan itu. Karena cuma bikin chaos dan tidak beretika. Salut buat prabowo.",positif,ani ngeri bawa tanah kekayaan prabowo dibandingkan prajurit yg ga rumah dinas sengaja membenturkan prabowo pengen balas aja ngomong ma ani hartamu sekian milyar tanahmu sekian hektar penduduk jakarta yg mulung miskin prabowo ga bikin chaos beretika salut prabowo
@Teddy-eb4jc itu tandanya Prabowo egois..mementingkan diri sendiri..dan itu bukan jiwa pemimpin,negatif,ebjc tandanya prabowo egoismementingkan sendiridan jiwa pemimpin
Adil itu bukan sesuai pemikiran lu yaitu pihak yg Lo bela harus menang tapi keadilan ya sesuai dengan aturan... Kalau adil menurut lu masih berdasarkan yang menang harus pilihan lu... Maka w pengen berjalan gak adil..,positif,adil sesuai pemikiran lu yg lo bela menang keadilan ya sesuai aturan adil lu berdasarkan menang pilihan lu w pengen berjalan gak adil
"Betul, coba² benar kputusan jgn berpihak, harus benar² suci persaingan nya jgn ada kecurangan seperti 5 tahun kemarin",positif,coba kputusan jgn berpihak suci persaingan nya jgn kecurangan kemarin
"Gak ada rakyat gak sengsara, selama pdi msih berkuasa, makmur gak selama ini rakyat, gak kan, rakyat byk menggagur, malah orang asing di pekerjakan ke Indonesia, terbalik kan 😊",negatif,gak rakyat gak sengsara pdi msih berkuasa makmur gak rakyat gak rakyat byk menggagur orang asing pekerjakan indonesia terbalik
"Jangan berharap pemilih bisa berjalan jujur dan transparan. Mengapa, karena proses seleksi KPU Propinsi dan Kabupaten Kota saja tidak jujur dan profesional berdasarkan kapasitas dan kemampuan akademik yang baik. Saya alami sendiri ketika mengikuti proses seleksi KPU Kabupaten Kota di Propinsi Maluku. Orang orang yang punya Nilai tes tertulis dengan hanya 23 bayangkan bisa lulus karena didongkrak dengan Nilay essay 40 sampai 49. Sedangkan hasil Psykologi DIPERTIMBANGKAN. Ini bagi saya kita tidak akan mendapatkan calon komisioner KPU Kabupaten  Kota yang berintegritas dan punya kemampuan manejerial dan kompetensi untuk menaukseskan Pemilu yang jujur, adil dan berintegritas ..",negatif,berharap pemilih berjalan jujur transparan prose seleksi kpu propinsi kabupaten kota jujur profesional berdasarkan kapasitas kemampuan akademik alami mengikuti prose seleksi kpu kabupaten kota propinsi maluku orang orang nilai te tertulis bayangkan lulu didongkrak nilay essay hasil psykologi dipertimbangkan calon komisioner kpu kabupaten kota berintegritas kemampuan manejerial kompetensi menaukseskan pemilu jujur adil berintegritas
GIBRAN melanggar aturan debat dan menyesatkan,negatif,gibran melanggar aturan debat menyesatkan
"Kita kawal nonton di tv, kpu bawalsu polri dpr kades pemeritahan itu baru bisa mengawal ,kita cuman negok negok",positif,kawal nonton tv kpu bawalsu polri dpr kades pemeritahan mengawal cuman negok negok
"Lahan pak prabowo 340.000 hektare, tpi karyawan nya sejahtera gak?😂   Punya rumah semua gak?😂   Gaji lancar gak?? THR keluar gak??? bonusan tidak???😂😂  siapa yang OMDO Wo Wo.. Woo",negatif,lahan prabowo hektare tpi karyawan nya sejahtera gak rumah gak gaji lancar gak thr gak bonusan omdo wo wo woo
​ @AntonPalembang81 bualan tidak realistis hanya milik orang dusta... Kampanye jadi tebar tebar janji,negatif,bualan realistis milik orang dusta kampanye tebar tebar janji
Mari adakan revolusi dgn golput dari pada percaya dgn kpu yg munafik.,negatif,mari adakan revolusi dgn golput percaya dgn kpu yg munafik
"PPS tingkat desa aja gak jujur, apalagi KPU, BAWASLU Ah sudahlah",negatif,pps tingkat desa aja gak jujur kpu bawaslu ah
 @ffnda4671  mau kalah ni yee 😀,positif,kalah ni yee
​ @rachmadsuwandi67 plot twist bgt y,positif,plot twist bgt
Penyelenggaranya dan pengawasan nya juga harus jujur,positif,penyelenggaranya pengawasan nya jujur
Jangan lupa hutang negara harus bisa dilunasi,positif,lupa hutang negara dilunasi
Kalauvno 2 ga jujur..MK aja dimakan,negatif,kalauvno ga jujurmk aja dimakan
Prabowo di tanya kerjaan sehari hari jadi menhan aja gak bisa jawab. Terus ngurusin apa pak omon omon selama hampir 5 tahun jadi menhan. Apakah bisnis pribadi yg di urusin 😂😂😂😂🤣🤣. Ah rumah tangga aja ancur gk ke urus wkwkkw,negatif,prabowo kerjaan sehari menhan aja gak ngurusin omon omon menhan bisnis pribadi yg urusin ah rumah tangga aja ancur gk urus wkwkkw
"​ @kikoff1787 😂😂😂😂😂😂
Ntar klu no. 1 menang baru tau berapa triliun duit yang udah di bocorkan... 
Ingat setiap jual beli ada fee, tiap hutang ada fee, tiap import ada fee... 
Jadi pikir saja mereka beli barang bekas, hutang dll untuk keperluan rakyat atau untuk biaya bagi2 susu, sembako dan duit😂",positif,ntar klu menang tau triliun duit udah bocorkan jual beli fee hutang fee import fee pikir beli barang bekas hutang dll keperluan rakyat biaya susu sembako duit
"Sejarah akan mencatat 2024 pemilu yang tidak fair, anak cucu kita akan membacanya",positif,sejarah mencatat pemilu fair anak cucu membacanya
" @fay_wahyu  mau sampai kapanpun, pendukung dari pihak yang kalah akan selalu bilang bahwa ""pemilu tahun ini sudah dicurangi""",negatif,wahyu pendukung kalah bilang pemilu dicurangi
Liat lah Jokowi jujur tp bwhannya bnyk yg gk jujur😢,positif,liat jokowi jujur tp bwhannya bnyk yg gk jujur
" @ernaekawulandari9704  Jkw jujur? Kemane aja mpok? 
Esemka = bohong
Tol laut = gak tahu kemana ceritanya
Revolusi mental = bikin Mahkamah Keluarga spy anak lolos jadi cawapres
Kerja kerja kerja katanya duit ada = hutang hutang hutang
Pas covid pilkada ditiadakan sampai skrg =  covid sedang tinggi2nya pilkada khusus Solo buat Gibran dan pilkada Medan buat menantu Bobby tetap diadakan..
Dst.. dst..
Makanya butuh perubahan.. Amin..☝️",positif,jkw jujur kemane aja mpok esemka bohong tol laut gak kemana ceritanya revolusi mental bikin mahkamah keluarga spy anak lolo cawapres kerja kerja kerja duit hutang hutang hutang pa covid pilkada ditiadakan skrg covid tingginya pilkada khusus solo gibran pilkada medan menantu bobby diadakan dst dst butuh perubahan amin
IYAA AYOK PAK PRABOWO DEBAT BEBAS COBA,positif,iyaa ayok prabowo debat bebas coba
" @ernaekawulandari9704  coba dengar kata beliau kita adakan terbuka, tapi tidak disini, dsni saya tdk di kasih waktu🤣",negatif,coba dengar beliau adakan terbuka dsni tdk kasih
"Ass,,,,❤bdg nyimak pemilu ini mudah mudahan yg terbaik,😊❤sukses selalu Amiin ya robb",positif,assbdg nyimak pemilu mudah mudahan yg terbaiksukses amiin ya robb
Ga bakal brani bro si wowo,negatif,ga brani bro si wowo
mbak najwa udah kapok ngundang 02...ngeriiii,negatif,mbak najwa udah kapok ngundang ngeriiii
"Lucu yee banyak prajurit gak punya rumah dipertanyakan ke prabowo,. 
Kalo pengen punya rumah pribadi  tanah pribadi jadi pengusaha..membawa bawa prajurit yang abdi negara untuk mencari point itu gak etik , negara sudah mempasilitasi mes untuk itu ..
Jakarta aja gak beres tingkat miskin manusianya banyak pemulung tetep banyak pengamen dimana mana so soan mau jadi pemimpin sebuah negara dengan 12jt lebih manusia..
Urus jakarta aja gak beres apalagi urus negara wkwkwk",negatif,lucu yee prajurit gak rumah prabowo kalo pengen rumah pribadi tanah pribadi pengusahamembawa bawa prajurit abdi negara mencari point gak etik negara mempasilitasi me jakarta aja gak beres tingkat miskin manusianya pemulung tetep pengamen dimana soan pemimpin negara jt manusia urus jakarta aja gak beres urus negara wkwkwk
" @agussukarya9951  
Prabowo + gibran + smua pendukungnya memiliki ciri khas yg sama yaitu tidak pernah menjawab subtansi alias hanya ngeles kiri kanan 
SUBTANSI dari statemen anies adalah bgmn prabowo menjelaskan bgmn dia bisa mendapatkan tanah 340.000 Ha ? padahal banyak prajuritnya yg gak punya rumah 
Ironi ini yg hrs dijawab",negatif,prabowo gibran smua pendukungnya memiliki ciri khas yg subtansi alias ngeles kiri kanan subtansi statemen anies bgmn prabowo bgmn tanah ha prajuritnya yg gak rumah ironi yg hr
"Anis ngeri, bawa2 kekayaan pribadi dan membenturkan dengan prajurit yg blm punya rumah dinas..
Misal prabowo pengen balas, dia bisa aja ngomong ""mas anis hartamu sekian milyar, tanahmu sekian hektar sedangkan masih ada penduduk jakarta yg mulung dan miskin, bagaimana ?""
Namun prabowo ga melakukan itu. Karena cuma bikin chaos dan tidak beretika.",negatif,ani ngeri bawa kekayaan pribadi membenturkan prajurit yg blm rumah dinas prabowo pengen balas aja ngomong ma ani hartamu sekian milyar tanahmu sekian hektar penduduk jakarta yg mulung miskin prabowo ga bikin chaos beretika
​ @Teddy-eb4jc punya negara yang di kuasi oleh prabowo. Maka dari itu anis menanyakan itu. Kalo tanah negara kenapa gak di kasih prajurit,negatif,ebjc negara kuasi prabowo ani kalo tanah negara gak kasih prajurit
Amin siapa saja yang penting terbaik  bagi indonesia,positif,amin terbaik indonesia
Sepakat sekali kurang greget,positif,sepakat greget
​ @Nawi_Al-banuChannel gak ada 😂,positif,albanuchannel gak
Kn paslon 2 blg cuma ingin debat yg diadakn kpu,positif,kn paslon blg debat yg diadakn kpu
"​ @sawall8260  lucu ya 😂 , kok gitu maunya dia",positif,lucu ya gitu maunya
disini capres bermain aman,positif,capres bermain aman
Yahahah. Ga seru krna junjungan lu di serang 2 kubu yh? Wkwkwkwk,positif,yahahah ga seru krna junjungan lu serang kubu yh wkwkwkwk
Narasi kan kubunya anis,positif,narasi kubunya ani
"yupz setuju, seharusnya debat itu saling sanggah bukan gantian",positif,yupz setuju debat sanggah gantian
 @putrinabillahyusrisirait4936  kurang sanggah menyanggah kek ada yg kurang,positif,sanggah menyanggah kek yg
Narasi kurang netral jadi gak perlu.,positif,narasi netral gak
"Bicaranya dikasih alarm. Yg nanya alarmnya panjang
Yg jwb alarmnya pendek

Ga kebalik tuh modrmotor
Hahaaaaa",positif,bicaranya dikasih alarm yg nanya alarmnya yg jwb alarmnya pendek ga kebalik tuh modrmotor hahaaaaa
iy yg udh jadi mentri selama 5 thn itu hasilnya apa?????,negatif,iy yg udh mentri thn hasilnya
​ @otonkkoil jagung estet 😂😂😂,positif,jagung estet
"Pinter ngomong dan berkata-kata kok bisa membuat 
Jakarta e-prix circuit (formula E), 
Revitalisasi simpang lima pasar Senen,
Fly over tapal kuda,
Pembenahan kampung susun aquarium,
Pembangunan Rumah DP 0% sebanyak 2.332 unit yg sudah terbangun,
Gratiskan PBB /Pajak dengan kekayaan dibawah 2Milyar,
Pelebaran trotoar dikawasan Kemang sudirman Tamrin,
Transportasi integrasi (JAKLINGKO),
Aplikasi Jakarta kini (JAKI),
JPO pinisi Dijon Jend Sudirman,
Pembangunan jalur persepeda,
Pembangunan sumur resapan,
Revitalisasi Kota Tua (BATAVIA),
Penutupan sarang Lonte (ALEXIS),
Pembangunan Stadion JIS, dan Lain2.
Udah GK bisa di pungkiri lagi, tapi beda cerita kalau ada orang yg matanya buta untuk menerima kenyataan. 😂🤣
Keren kan, dari yg awalnya omongan pinter berkata-kata doang, tapi bisa merubah semuanya.
Makanya PINTER😁 👍
Saya cuma minta Sebutkan 1 aja prestasi Prabowo selain beli alutsista BEKAS.😂",positif,pinter ngomong berkatakata jakarta eprix circuit formula e revitalisasi simpang pasar senen fly tapal kuda pembenahan kampung susun aquarium pembangunan rumah dp unit yg terbangun gratiskan pbb pajak kekayaan dibawah milyar pelebaran trotoar dikawasan kemang sudirman tamrin transportasi integrasi jaklingko aplikasi jakarta jaki jpo pinisi dijon jend sudirman pembangunan jalur persepeda pembangunan sumur resapan revitalisasi kota tua batavia penutupan sarang lonte alexis pembangunan stadion ji udah gk pungkiri beda cerita orang yg matanya buta menerima kenyataan keren yg omongan pinter berkatakata doang merubah pinter sebutkan aja prestasi prabowo beli alutsista bekas
​ @AnggaCahyaJR 1 lg program pak anis KJMU sangat2 membantu buat adek sya,positif,lg program ani kjmu membantu adek sya
Kalo pak anies paket lengkap pandai berdialog dan mempunyai pengalaman jadi gub jakarta,positif,kalo anies paket lengkap pandai berdialog pengalaman gub jakarta
"Kalau gak punya teori dan pengetahuan bagaimana pemimpin tersebut bisa menerapkan teori atau pengetahuan tersebut di dalam masa kerjanya. 
Teori atau pengetahuan adalah dasar penting, agar pemimpin tersebut tidak jadi beban bagi rakyat Indonesia, apalagi hanya menjadi pajangan di kursi pemerintah atau jadi boneka untuk digunakan mencapai keuntungan2 Individu atau organisasi tertentu..",positif,gak teori pengetahuan pemimpin menerapkan teori pengetahuan kerjanya teori pengetahuan dasar pemimpin beban rakyat indonesia pajangan kursi pemerintah boneka mencapai keuntungan individu organisasi
Rekam jejak pelanggaran HAM dan MK? Ckckckckc rusak,negatif,rekam jejak pelanggaran ham mk ckckckckc rusak
"jika soal pintar berbicara, itu penting dalam membangun hubungan dengan negara lain yah, apalagi presiden adalah perantara indonesia dalam lingkup internasional, jika seorang presiden pintar berbicara, otomatis negara lain gampang membangun hubungan dengan Indonesia sehingga indonesia bisa dikenal, mempunyai banyak koneksi, lebih maju, dan mampu berkembang di kancah internasional",positif,pintar berbicara membangun hubungan negara yah presiden perantara indonesia lingkup internasional presiden pintar berbicara otomatis negara gampang membangun hubungan indonesia indonesia dikenal koneksi maju berkembang kancah internasional
"Berbicara tentang Prabowo, saya hanya ingat kata2 kakak sepupu saya yg merupakan seorang Kopassus ketika melawan Gerakan Aceh Marderka. Prabowo adalah pemimpin yg sangat disiplin dan selalu berada di depan pasukan ketika berperang. Itu yg membuat almarhum Bapak saya termasuk saya yg waktu itu masih berada di Sekolah Dasar sangat mngagumi sosok Beliau.",positif,berbicara prabowo kakak sepupu yg kopassus melawan gerakan aceh marderka prabowo pemimpin yg disiplin pasukan berperang yg almarhum yg sekolah dasar mngagumi sosok beliau
Anis Sing ada lawan,positif,ani sing lawan
Apalgi yg emosia& gk punya etika🤣,negatif,apalgi yg emosia gk etika
setuju...bukti kerja kerja kerja...singkong panen melimpah,positif,setujubukti kerja kerja kerjasingkong panen melimpah
Di sini percuma menjelaskan ke orang yg ga suka anis..tetep aja cibiran yg keluar padahal cuman KATANYA BERITA KATANYA CERITA ORANG 😂😂 prabowo 2 periode sudah dukung penuh nyatanya yg katannya mau teggelam sama rakyat buktinya apa...sekarang kelain hati aja AMIN NO 1,positif,orang yg ga suka anistetep aja cibiran yg cuman berita cerita orang prabowo periode dukung penuh yg katannya teggelam rakyat buktinya apasekarang kelain hati aja amin
"Anis sangat genius merangkai kata , kadang sangat Tidak masuk akal . Buat pendukung Anis yg penting seiman . 
Harus memilih Calon Presiden yg benar benar bicara sesuai realita dan masuk akal",positif,ani genius merangkai kadang masuk akal pendukung ani yg seiman memilih calon presiden yg bicara sesuai realita masuk akal
 @suzannesuzanne9183   Pemimpin WAJIB pintar berbicara (pandai merengkai kata kata) utk meyakinkan pihak lain agar programnya bisa berjalan.,positif,pemimpin wajib pintar berbicara pandai merengkai utk programnya berjalan
"Selalu saja bilang pandai merangkai kata, jangan lupa di dalam kitab suci juga isi nya kata-kata, dg kata kata rosulullah berdakwah untuk umat semesta alam",positif,bilang pandai merangkai lupa kitab suci isi nya katakata dg rosulullah berdakwah umat semesta alam
Jadi anda tidak suka pak bowo karena pak bowo 5 tahun tidak bisa kerja pertahanan negara. Buktinya di papua TNI di bantai jasat di biarkan dan tak di urus baru 7 hari yg lalu,negatif,suka bowo bowo kerja pertahanan negara buktinya papua tni bantai jasat biarkan urus yg
Jd lu jelasin rekam jejak pak bowo apa yg di lakukan 5 tahun,positif,jd lu jelasin rekam jejak bowo yg lakukan
" @Cindomoncul-de7zx  
Saya simpatisan Anies makanya tidak perlu menanggapi permintaan anda",positif,dezx simpatisan anies menanggapi permintaan
Iyah BENER BANGET KALAU NGOMONG BIKIN JANJI MAH SEMUA ORANG BISA,positif,iyah bener banget ngomong bikin janji mah orang
 @yogahikaru8267  Kalo capres tanpa janji apakah ada yg mau milih.? justru ketika dia banyak janji kita bisa tagih janji itu setelah mereka bener2 jadi..,negatif,kalo capres janji yg milih janji tagih janji bener
" @yogahikaru8267  itu yg sedang kita amati..semua calon pernah menjadi pejabat..dan kita ingin tau apa yg mereka lakukan selama mereka menjadi pejabat  sebelumnya..mangkanya ketika ada yg bertanya kinerja sebelumnya harus nya di jawab,bukan ngeles jadi kita bisa tau rekam jejaknya
Apa kekurangan dan apa kelebihan nya..jgn malah merasa di serang",positif,yg amatisemua calon pejabatdan tau yg lakukan pejabat sebelumnyamangkanya yg kinerja nya jawabbukan ngeles tau rekam jejaknya kekurangan kelebihan nyajgn serang
"Sangat setuju pak. Para Panelis alangkah lebih baik di libatkan, jauh lebih bagus lagi rakyat dilibatkan juga. Temanya apa, Buat open pertanyaan ditwitter atau IG ttg tema tsb dipilih dr KPUnya, rakyat juga berhak ambil bagian dr debat ini harusnya. Supaya rakyat tambaha melek dan yakin siapa yg bnr² harus dipilih. Krn pemilihan presiden yg milih dr suara rakyat",positif,setuju panelis alangkah libatkan bagus rakyat dilibatkan temanya open ditwitter ig ttg tema tsb dipilih dr kpunya rakyat berhak ambil dr debat rakyat tambaha melek yg bnr dipilih krn pemilihan presiden yg milih dr suara rakyat
"2 menit aja omon omon hampir pingsan, gimana 5 - 10 menit",positif,menit aja omon omon pingsan gimana menit
 @FRHN-is4xw  biar makin keliatan fisiknya sang capres...🤭,positif,isxw biar keliatan fisiknya sang capres
"Setujuuuuuu, ini milih presiden loooh pemimpin negara tp kita cuma tetap disuguhkan semenit 2 menit doang mana cukup unt yakin coblos yg mana. Semenit 2 menit mewakili negara 5 thn kedepan looh apa bisa sesingkat itu jd paham banget ini rakyat2 sm visi misi capres? Udh mana waktu singkat smpt2 nya diisi sindir serang. Jd kita org awam ga nangkep real 100% visimisinya. Milih presiden loh ini KPU, bukan milih pak RT",positif,setujuuuuuu milih presiden loooh pemimpin negara tp disuguhkan semenit menit doang unt coblos yg semenit menit mewakili negara thn kedepan looh sesingkat jd paham banget rakyat sm visi misi capres udh singkat smpt nya diisi sindir serang jd org awam ga nangkep real visimisinya milih presiden loh kpu milih rt
"Yes....setuju banget, nuntut pemimpin ini itu....buang sampah ketempatnya saja belum menjadi budaya.",positif,yessetuju banget nuntut pemimpin itubuang sampah ketempatnya budaya
"Setuju paslon 2 berkata pertahanan terbaik adalah kerjasama, gotong royong dan kerukunan kita menjadi warga negara SETUJU banget",positif,setuju paslon pertahanan terbaik kerjasama gotong royong kerukunan warga negara setuju banget
"Bagaimana akan jd negara maju kalau presidenya gak punya kapasitas.
     Gak punya ide dan gagasan, cuma bisa emosi..😂😂😂",negatif,jd negara maju presidenya gak kapasitas gak ide gagasan emosi
"Betul sx hanya amin yg insyllh jujur&amanah,serta punya track record yg baik👍☝️",positif,sx amin yg insyllh jujuramanahserta track record yg
"​ @nurhydayat2969 
Dalam debat : anies menjawab klo pertahanan juga harus bicara ttg keselamatan keluarga dari penipuan online dan judi online (yg merupakan tugas aparat keamanan ato polisi)  
ternyata anies tdk bisa membedakan antara tugas pertahanan dan tugas keamanan
 katanya cerdas dan pintar??? 😅😅",negatif,debat anies klo pertahanan bicara ttg keselamatan keluarga penipuan online judi online yg tugas aparat keamanan ato polisi anies tdk membedakan tugas pertahanan tugas keamanan cerdas pintar
" @ataccu9772  
Terus menurut elu apa yg dimaksud anies SAAT BICARA TTG PERTAHANAN KELUARGA ?",positif,elu yg anies bicara ttg pertahanan keluarga
"Sandiwara Politik Dua Kaki

Perlu kita ketahui sesungguhnya Paslon 2&3 itu BERSEKUTU (Megawati & Jokowi), dipanggung politik mereka pura2 ""BERSETERU"". Bagi yang ingin perubahan pilihlah No.1 (Anies Baswedan+Muhaimin Iskandar)

Ingat hanya sandiwara saja",positif,sandiwara politik kaki ketahui sesungguhnya paslon bersekutu megawati jokowi dipanggung politik pura berseteru perubahan pilihlah anies baswedanmuhaimin iskandar sandiwara
